epoch,accuracy,loss,val_accuracy,val_loss
0,0.6594827771186829,0.751047670841217,0.6674311757087708,0.718526303768158
1,0.6616379022598267,0.7597561478614807,0.6674311757087708,0.7482388019561768
2,0.6530172228813171,0.7490069270133972,0.6674311757087708,0.7174659967422485
3,0.6594827771186829,0.7324913740158081,0.6674311757087708,0.7145324945449829
4,0.6666666865348816,0.7256787419319153,0.6674311757087708,0.7182720899581909
5,0.6666666865348816,0.7274584770202637,0.6674311757087708,0.716005265712738
6,0.6666666865348816,0.7225647568702698,0.6674311757087708,0.7437959909439087
7,0.6666666865348816,0.7311691641807556,0.6674311757087708,0.7195892930030823
8,0.6666666865348816,0.7270675897598267,0.6674311757087708,0.7223972082138062
9,0.6666666865348816,0.7296345829963684,0.6674311757087708,0.7146826386451721
10,0.6666666865348816,0.7256700992584229,0.6674311757087708,0.715941309928894
11,0.6666666865348816,0.7274953722953796,0.6674311757087708,0.7135519981384277
12,0.6666666865348816,0.726291835308075,0.6674311757087708,0.7146324515342712
13,0.6666666865348816,0.7263570427894592,0.6674311757087708,0.7205238938331604
14,0.6666666865348816,0.7250205874443054,0.6674311757087708,0.7140936851501465
15,0.6666666865348816,0.7252864837646484,0.6674311757087708,0.7145034074783325
16,0.6666666865348816,0.7237449884414673,0.6674311757087708,0.7152730822563171
17,0.6666666865348816,0.729017436504364,0.6674311757087708,0.7170630693435669
18,0.6666666865348816,0.7265451550483704,0.6674311757087708,0.7138230800628662
19,0.6666666865348816,0.725197970867157,0.6674311757087708,0.7140727639198303
20,0.6666666865348816,0.7250595688819885,0.6674311757087708,0.7193125486373901
21,0.6666666865348816,0.7280836701393127,0.6674311757087708,0.7139735221862793
22,0.6666666865348816,0.7267836928367615,0.6674311757087708,0.7165085077285767
23,0.6666666865348816,0.7275316715240479,0.6674311757087708,0.7155271768569946
24,0.6666666865348816,0.7265366911888123,0.6674311757087708,0.7143355011940002
25,0.6666666865348816,0.7258763313293457,0.6674311757087708,0.7159347534179688
26,0.6666666865348816,0.7240859866142273,0.6674311757087708,0.713945746421814
27,0.6666666865348816,0.7273988127708435,0.6674311757087708,0.714735209941864
28,0.6666666865348816,0.7249770760536194,0.6674311757087708,0.7155308723449707
29,0.6666666865348816,0.7237410545349121,0.6674311757087708,0.7135034203529358
30,0.6666666865348816,0.715094268321991,0.6674311757087708,0.6667481660842896
31,0.6666666865348816,0.6451614499092102,0.6674311757087708,0.6617713570594788
32,0.6946839094161987,0.5508618354797363,0.6674311757087708,0.5550564527511597
33,0.7262930870056152,0.5723567605018616,0.31192660331726074,0.7887264490127563
34,0.6623563170433044,0.7213143706321716,0.6674311757087708,0.7144661545753479
35,0.6695402264595032,0.7129802703857422,0.6674311757087708,0.7138311862945557
36,0.6695402264595032,0.7142479419708252,0.6674311757087708,0.7135072350502014
37,0.6695402264595032,0.7148115038871765,0.6674311757087708,0.7150956392288208
38,0.6695402264595032,0.7146812677383423,0.6674311757087708,0.7154067158699036
39,0.6695402264595032,0.7146861553192139,0.6674311757087708,0.7140160202980042
40,0.6695402264595032,0.7138107419013977,0.6674311757087708,0.7136383652687073
41,0.6695402264595032,0.7141759395599365,0.6674311757087708,0.7134769558906555
42,0.6695402264595032,0.7116144895553589,0.6674311757087708,0.715898334980011
43,0.670258641242981,0.7108285427093506,0.6674311757087708,0.7139790654182434
44,0.670976996421814,0.705005407333374,0.6674311757087708,0.7161008715629578
45,0.6716954112052917,0.7043764591217041,0.6674311757087708,0.7150173783302307
46,0.6716954112052917,0.7048768401145935,0.6674311757087708,0.7152320742607117
47,0.6716954112052917,0.7048109173774719,0.6674311757087708,0.7140704989433289
48,0.6716954112052917,0.7037630677223206,0.6674311757087708,0.7164861559867859
49,0.6716954112052917,0.7056784629821777,0.6674311757087708,0.7134000658988953
