username,user_id,tweet
jokowiofc,@jokowiofc,"Kolaborasi IKN dan ACWA Power sinergi untuk kehidupan hijau

tag
|| Jilat Vina Indonesia vs Guinea Mahasiswa 20.00 WIB PRAY FOR RAFAH Bali Charlotte Ajarin Wonbin Gege Harry Kane #ZhaoLusi ||
1
2
10"
machril machril,@machrilmachril1,"Replying to 
@CNNIndonesia
Misalnya 40 Menteri + 40 Wamen = 80 Orang. 
Sore2 hari dari pada bengong pada main bola kaki cuma butuh 22 orang. Ini kejadian di IKN pada Bulan November 2024.
@prabowo
1"
STRON93R,@hakunomatataa,"Replying to 
@tanyarlfes
IKN adalah ide paling aneh dan gak membumi yang pernah ada"
Cent,@cend241,"Replying to 
@tanyarlfes
sebenernya gw bakal dukung IKN kalo itu memang benar benar buat pemerataan pembangunan
tapi dengan kondisi pejabat kita yang sekarang
tau sendiri lah ya
1
1
5"
nay,@yellowpostitbro,"Replying to 
@tanyarlfes
indonesia masih punya banyak hal yg urgent selain bikin ikn.
tapi, temen-temen gw yang anak teknik banyak yg pro ikn. gw paham sih alasannya, karena kan ikn = proyeknya mereka. sumber kerjaannya mereka.
jadi nder mahasiswa pun pendapatnya bisa tergantung perspektif & kepentingan
2
3"
zzzz,@deluluww,"Replying to 
@tanyarlfes
ikn bukan solusi"
 jae,@hanseolaaa,"Replying to 
@shallypristine
gapapa rakyat mental feodal kan suka kalo ngeliat pejabrut nya makin kaya, punya rumah mewah. Apalagi IKN yang mau dibentuk istana, boleh lah adu sama negara lain 
2"
G W Y N,@macarvns,"Replying to 
@buahmenkudu
Kenapa tuh moms kalau di ikn? :o
1"
tokmat Bangi Wonderland,@JsmSelamat25259,"Replying to 
@24Amyra
Ikn bawal hitam besar tu potong dua..."
io,@deikazuya,"Replying to 
@tanyarlfes
daripada buat bangun IKN, mendingan juga duitnya dipake buat pemerataan kota-kota yg udah ada, kalau emng mau ibukota baru, kenapa ga kota yg udh ada aja bukan malah mulai dari 0 yg jelas butuh modal banyak banget? ujung-ujungnya jg ntu proyek dibangunin yg tinggalin bkn—
1
52"
 MNERIMA RESTORASI,@Aangg415687,"Replying to 
@tempodotco
Buat ikn nih alat beratnya di pilih sesuai pesnana ready alat berat apapun mangga di antos buar saya bisa buat makan sehari hari buat memberi sodra dan fakir miskin 2.5 persenya saya amalkan."
Ferdian,@AsHerdian,"Replying to 
@Gunawan75_
Terbang  yg ad indo bentar lg dikuasai china dia kan boneka China, sbnrnya indo itu sudah milik China sdh diinvestasikan sm ini org makanya mereka bikin ikn jd kota baru
1"
save Indonesia,@ediashari1,"Replying to 
@tempodotco
Duit habis buat ikn, anak kecil nangis minta makan ke ibunya. Mikir!!"
Tanyarlfes,@tanyarlfes,"Automated
tanyarl sender kepooo, mau tau pandangan mahasiswa ttg IKN ini dong. pls buzz3r p0l1t1k, dni!
41
16
112"
ـور,@ikn_hjl,"Replying to 
@Ry2006_
ياخخيخييييي"
LIPUTAN6,@liputan6dotcom,"Pembangunan IKN Pasar Potensial bagi Industri Keramik http://dlvr.it/T6dSs1 #Bisnis
Pembangunan IKN Pasar Potensial bagi Industri Keramik
From liputan6.com
1
3"
Prima プリマ,@primawansatrio,"Replying to 
@KapalGas
Tau sih ini, salah satu investor di IKN juga ada dari konglomerat Korea. Sering ngobrol perkara investasi di Indonesia gimana soalnya "
kucing galak,@GhhopesHi,"Replying to 
@sociotalker
I think it’s IKN
1"
Imma YODA,@aaniiindaa,"Replying to 
@shallypristine
Dalam beberapa tahun IKN bakal jadi singapore. 

Meaning: dijajah

I’m planning to be part of it 

Dark jokes"
SINDOnews,@SINDOnews,"Bandara VVIP IKN Siap Sambut Tamu Upacara Kemerdekaan 17 Agustus, Luhut: Bisa Didarati 3 Pesawat
Bandara VVIP IKN Siap Sambut Tamu Upacara Kemerdekaan 17 Agustus, Luhut: Bisa Didarati 3 Pesawat
From ekbis.sindonews.com"
